"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"52","195.18026726421135","235.91979442825084","0","0","0.015199999999999991","0.010800000000000032","0.0196","1560","0.00031731233072031576","0","0.00031731233072031576","0.00031731233072031576","52_51:0.00202078023652702;52_37:0.002956120974101223","52_51:124;52_37:120","true"
"53","65.427700696487","73.54013840150799","0","0","0.09670000000000001","0.10360000000000003","0.0898","1560","0.002294273965214399","0","0.002294273965214399","0.002294273965214399","53_57:0.006467837175709451;53_38:0.008510964863106985","53_57:124;53_38:124","true"
"54","173.9030584677664","198.53148988772782","0","0","0.006299999999999972","0.008","0.0046000000000000485","1560","0.00023625757371141447","0","0.00023625757371141447","0.00023625757371141447","54_61:0.004808575101319129;54_42:0.00371054418070485","54_61:168;54_42:84","true"
"55","142.9326998980034","142.16129779426436","0","0","0.0121","0.015199999999999991","0.009","1560","0.0002479920475833169","0","0.0002479920475833169","0.0002479920475833169","55_65:0.0033837028514655254;55_46:0.0039434722000800115","55_65:136;55_46:100","true"
"56","208.4154862638135","133.87349709465508","0","0","0.011700000000000044","0.0116","0.011800000000000033","1560","0.0002868383961004584","0","0.0002868383961004584","0.0002868383961004584","56_50:0.0025600845911696313;56_69:0.004642469272325173","56_50:100;56_69:176","true"
"57","148.0935188472191","131.32572814586953","0","0","0.011099999999999999","0.012199999999999989","0.01","1560","0.0003861080580016606","0","0.0003861080580016606","0.0003861080580016606","57_53:0.006467837175709451;57_58:0.0029288944608547862","57_53:124;57_58:84","true"
"58","147.86730849448782","142.37645413003486","0","0","0.009600000000000053","0.012","0.007199999999999984","1560","0.0002627209990537946","0","0.0002627209990537946","0.0002627209990537946","58_57:0.0029288944608547862;58_59:0.002762024884234715","58_57:84;58_59:84","true"
"59","159.68073470025752","145.3401379229632","0","0","0.02079999999999993","0.02200000000000002","0.0196","1560","0.00035173615171120323","0","0.00035173615171120323","0.00035173615171120323","59_60:0.02664068203070616;59_72:0.002477496278877972;59_58:0.002762024884234715","59_60:84;59_72:84;59_58:84","true"
"60","119.684925559537","160.38584343341904","0","0","0.012399999999999967","0.0166","0.008199999999999985","1560","0.0015707292216846967","0","0.0015707292216846967","0.0015707292216846967","60_61:0.011565275616587878;60_59:0.02664068203070616","60_61:84;60_59:84","true"
"61","190.42483008547663","140.41914283446658","0","0","0.008099999999999996","0.009","0.007199999999999984","1560","0.00031855535614811647","0","0.00031855535614811647","0.00031855535614811647","61_60:0.011565275616587878;61_54:0.004808575101319129;61_62:0.0036077460337938794","61_60:84;61_54:168;61_62:84","true"
"62","119.05899076025673","116.90088784138223","0","0","0.012499999999999956","0.0158","0.009199999999999986","1560","0.00038578005970183073","0","0.00038578005970183073","0.00038578005970183073","62_61:0.0036077460337938794;62_63:0.00709533571258264","62_61:84;62_63:180","true"
"63","107.89111081483176","128.32758103160938","0","0","0.024499999999999966","0.03700000000000003","0.012","1560","0.0010831531445808936","0","0.0010831531445808936","0.0010831531445808936","63_73:0.003960916915372342;63_64:0.007675290490458592;63_62:0.00709533571258264","63_73:104;63_64:84;63_62:180","true"
"64","255.11287895644185","114.53064282990503","0","0","0.11149999999999993","0.1794","0.0436","1560","0.0008114186973674215","0","0.0008114186973674215","0.0008114186973674215","64_65:0.007946044978061284;64_63:0.007675290490458592","64_65:84;64_63:84","true"
"65","205.34974607795112","209.28898014183554","0","0","0.01089999999999991","0.014399999999999968","0.0074","1560","0.00043576105247232857","0","0.00043576105247232857","0.00043576105247232857","65_55:0.0033837028514655254;65_64:0.007946044978061284;65_66:0.005957190550054614","65_55:136;65_64:84;65_66:84","true"
"66","175.5296262448195","242.98509027160128","0","0","0.009199999999999986","0.0112","0.007199999999999984","1560","0.0001872149063865637","0","0.0001872149063865637","0.0001872149063865637","66_67:0.002829874328828891;66_65:0.005957190550054614","66_67:84;66_65:84","true"
"67","154.2447832652005","122.43642359967878","0","0","0.03720000000000001","0.03959999999999997","0.0348","1560","0.00026237172451022483","0","0.00026237172451022483","0.00026237172451022483","67_66:0.002829874328828891;67_74:0.003304550889604463;67_68:0.004371404627244557","67_66:84;67_74:88;67_68:104","true"
"68","123.15724445900283","66.83976921683812","0","0","0.029100000000000015","0.0312","0.027000000000000024","1560","0.0005466383645858919","0","0.0005466383645858919","0.0005466383645858919","68_69:0.004361143803304851;68_67:0.004371404627244557","68_69:124;68_67:104","true"
"69","224.57542777941683","43.09514556753932","0","0","0.03410000000000002","0.03700000000000003","0.0312","1560","0.0003807557336879478","0","0.0003807557336879478","0.0003807557336879478","69_68:0.004361143803304851;69_70:0.009300232615805981;69_56:0.004642469272325173","69_68:124;69_70:84;69_56:176","true"
"70","49.20948731077699","27.908929112484223","0","0","0.04190000000000005","0.038","0.04579999999999995","1560","0.0006532643125129706","0","0.0006532643125129706","0.0006532643125129706","70_71:0.008495449594052046;70_69:0.009300232615805981","70_71:84;70_69:84","true"
"71","173.50518705884497","42.051607955091825","0","0","0.024900000000000033","0.027800000000000047","0.022","1560","0.00038558436106717926","0","0.00038558436106717926","0.00038558436106717926","71_70:0.008495449594052046;71_75:0.003528353986273991","71_70:84;71_75:120","true"
"72","297.5782980618978","88.50878907425677","0","0","0.008199999999999985","0.006","0.010399999999999965","1560","0.0008648015237105077","0","0.0008648015237105077","0.0008648015237105077","72_78:0.0033181004771477285;72_59:0.002477496278877972","72_78:136;72_59:84","true"
"73","189.11091293807118","95.55418695867634","0","0","0.007800000000000029","0.0082","0.007399999999999962","1560","0.0009370551459417396","0","0.0009370551459417396","0.0009370551459417396","73_63:0.003960916915372342;73_82:1","73_63:104;73_82:104","true"
"74","256.17050335201407","135.5917663470183","0","0","0.008099999999999996","0.0098","0.006399999999999961","1560","0.0003654018476412445","0","0.0003654018476412445","0.0003654018476412445","74_67:0.003304550889604463;74_86:0.0020484718716873296","74_67:88;74_86:124","true"
"75","277.066986678444","120.4393176703491","0","0","0.04079999999999995","0.06000000000000005","0.0216","1560","0.0010350791572661339","0","0.0010350791572661339","0.0010350791572661339","75_71:0.003528353986273991;75_90:0.003169177975597015","75_71:120;75_90:104","true"
"76","232.97087261632535","271.62562402165844","0","0","0.030399999999999983","0.022800000000000042","0.038","1560","0.0002747818351489032","0","0.0002747818351489032","0.0002747818351489032","76_91:0.012928609511085265;76_77:0.00773948636149252","76_91:100;76_77:84","true"
"77","142.29943280184085","146.0060666155633","0","0","0.013000000000000012","0.0148","0.011199999999999988","1560","0.0001566598301987491","0","0.0001566598301987491","0.0001566598301987491","77_78:0.004649232382896051;77_76:0.00773948636149252","77_78:84;77_76:84","true"
"78","80.80386111538412","99.83852340168147","0","0","0.025600000000000067","0.031399999999999983","0.0198","1560","0.0003654011238274047","0","0.0003654011238274047","0.0003654011238274047","78_79:0.03175788041241717;78_72:0.0033181004771477285;78_77:0.004649232382896051","78_79:104;78_72:136;78_77:84","true"
"79","56.63255127623219","29.903669286247887","0","0","0.03410000000000002","0.0598","0.008399999999999963","1560","0.0028279946375379303","0","0.0028279946375379303","0.0028279946375379303","79_78:0.03175788041241717;79_80:0.024073044136992072","79_78:104;79_80:84","true"
