"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"37","170.55886197308928","140.71409963546478","0","0","0.07779999999999998","0.0776","0.078","1560","0.0003561281444805642","0","0.0003561281444805642","0.0003561281444805642","37_52:0.0024694844281562267;37_33:0.004317489928117396","37_52:120;37_33:104","true"
"38","183.0542435580371","100.92473721738145","0","0","0.09610000000000007","0.1038","0.0884","1560","0.0002671613963662357","0","0.0002671613963662357","0.0002671613963662357","38_53:0.0029039371552594673;38_39:0.002714590267270167","38_53:124;38_39:84","true"
"39","93.54118336112725","72.06428950140953","0","0","0.010099999999999998","0.013","0.007199999999999984","1560","0.00022984789014912404","0","0.00022984789014912404","0.00022984789014912404","39_40:0.014263225468993723;39_38:0.002714590267270167","39_40:100;39_38:84","true"
"40","162.76605320251463","287.64374392305655","0","0","0.019000000000000017","0.01980000000000004","0.0182","1560","0.0001318772741626997","0","0.0001318772741626997","0.0001318772741626997","40_34:0.007019269137106959;40_39:0.014263225468993723;40_41:1","40_34:112;40_39:100;40_41:124","true"
"41","39.07182829510368","47.93747886241488","0","0","0.02499999999999991","0.046666666666666634","0.0033333333333333335","1560","0.002304600782762868","0","0.002304600782762868","0.002304600782762868","41_40:1;41_42:1","41_40:124;41_42:124","true"
"42","236.54695861578858","151.8671342613817","0","0","0.03820000000000001","0.031399999999999983","0.045","1560","0.00015929391005246613","0","0.00015929391005246613","0.00015929391005246613","42_54:0.004052010315645976;42_43:0.0025138359907410923;42_41:1","42_54:84;42_43:84;42_41:124","true"
"43","243.61989495613125","32.805961086523254","0","0","0.01629999999999998","0.0172","0.01539999999999997","1560","0.0001460737235184622","0","0.0001460737235184622","0.0001460737235184622","43_44:0.004525219694012678;43_42:0.0025138359907410923","43_44:84;43_42:84","true"
"44","263.8337809146611","188.96241257377895","0","0","0.01859999999999995","0.019","0.018199999999999994","1560","0.0001245506934024533","0","0.0001245506934024533","0.0001245506934024533","44_35:0.005218593057391335;44_45:0.0072091755325155715;44_43:0.004525219694012678","44_35:124;44_45:84;44_43:84","true"
"45","50.90807149071718","64.75941355226796","0","0","0.014000000000000012","0.020399999999999974","0.0076","1560","0.0006052265855936548","0","0.0006052265855936548","0.0006052265855936548","45_44:0.0072091755325155715;45_46:0.007778860305488133","45_44:84;45_46:124","true"
"46","86.49559658686944","89.62419844161464","0","0","0.021599999999999953","0.01859999999999995","0.0246","1560","0.00021275447330512494","0","0.00021275447330512494","0.00021275447330512494","46_55:0.009931827091305079;46_45:0.007778860305488133;46_47:0.003422142934133371","46_55:100;46_45:124;46_47:84","true"
