"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"34","249.52865893710967","52.680049882015474","4.5619601245692545","0","0.0020000000000000018","0.0030000000000000027","0.001","1244.4444444444443","0.0002871674341495373","0","0.0002871674341495373","0.0002871674341495373","34_24:0.008491241960654067","34_24:561.7777777777777","true"
"35","332.12742195039436","157.86811074695876","4.721872055204575","0","0.012599999999999945","0.012599999999999945","0.0126","1244.4444444444443","0.0003036591620822275","0","0.0003036591620822275","0.0003036591620822275","35_47:0.01659400344640441;35_28:0.007242227263218742","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","287.83183805914473","159.95315793475302","4.608014857428899","0","0.008499999999999952","0.01200000000000001","0.005","1244.4444444444443","0.00022857770729156835","0","0.00022857770729156835","0.00022857770729156835","36_32:0.005616892838892801;36_51:0.007140260089175177","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","312.506653124836","204.6810193053865","4.497678577255504","0","0.005800000000000027","0.0076","0.0040000000000000036","1244.4444444444443","0.00026360665165542867","0","0.00026360665165542867","0.00026360665165542867","37_38:0.012867884207022118;37_52:0.016650293780975184","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","240.51238102959348","137.26991072629258","4.458514217786384","0","0.007400000000000073","0.007800000000000029","0.007","1244.4444444444443","0.00038424228256803746","0","0.00038424228256803746","0.00038424228256803746","","","true"
"39","209.0625717118673","64.97261754398944","4.504271960109906","0","0.0030000000000000027","0.0040000000000000036","0.002","1244.4444444444443","0.0003586473413868934","0","0.0003586473413868934","0.0003586473413868934","39_38:0.011392326472711378","39_38:561.7777777777777","true"
"40","485.40598544091597","41.25761542968966","4.464345771084985","0","0.00550000000000006","0.00660000000000005","0.0044","1244.4444444444443","0.00022784896836001512","0","0.00022784896836001512","0.00022784896836001512","40_39:0.01211829136636941;40_41:0.011577610656496456","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","218.64845879137593","357.94950157329356","4.575900429778598","0","0.0014000000000000679","0.0028000000000000247","0","1244.4444444444443","0.0001315261828856935","0","0.0001315261828856935","0.0001315261828856935","","","true"
"42","78.27216696698355","60.74393509791554","4.641363652456343","0","0.0028000000000000247","0.0050000000000000044","0.0006","1244.4444444444443","0.0004803934977216449","0","0.0004803934977216449","0.0004803934977216449","42_41:0.011287051675862247;42_43:0.012366252498580865","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","84.4405499718186","101.62068862667232","4.523119042832709","0","0.0047999999999999154","0.006199999999999983","0.0034","1244.4444444444443","0.00028133598960432146","0","0.00028133598960432146","0.00028133598960432146","43_34:0.012199684799479443","43_34:561.7777777777777","true"
"44","476.4296994760221","237.04506769687427","4.59458911251469","0","0.02190000000000003","0.022800000000000042","0.021","1244.4444444444443","0.00028023186450760345","0","0.00028023186450760345","0.00028023186450760345","44_43:0.014236765891139563","44_43:561.7777777777777","true"
"45","310.75920226371403","97.28914939654072","4.630450939506858","0","0.0023999999999999577","0.0040000000000000036","0.0008","1244.4444444444443","0.0001721891354732342","0","0.0001721891354732342","0.0001721891354732342","45_44:0.007227642861269451;45_46:0.013616564358947841","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","204.74506602446925","40.184570955303194","4.710096849290728","0","0.006299999999999972","0.010399999999999965","0.0022","1244.4444444444443","0.00045309295708104505","0","0.00045309295708104505","0.00045309295708104505","46_47:0.020658116566998647","46_47:561.7777777777777","true"
